"ID","Age","Experience","Income","ZIP Code","Family","CCAvg","Education","Mortgage","Personal Loan","Securities Account","CD Account","Online","CreditCard"
1,25,1,49000,91107,4,1600,"Undergrad",0,"0","1","0","0","0"
2,45,19,34000,90089,3,1500,"Undergrad",0,"0","1","0","0","0"
3,39,15,11000,94720,1,1000,"Undergrad",0,"0","0","0","0","0"
4,35,9,1e+05,94112,1,2700,"Graduate",0,"0","0","0","0","0"
5,35,8,45000,91330,4,1000,"Graduate",0,"0","0","0","0","1"
6,37,13,29000,92121,4,400,"Graduate",155000,"0","0","0","1","0"
7,53,27,72000,91711,2,1500,"Graduate",0,"0","0","0","1","0"
8,50,24,22000,93943,1,300,"Advanced/Professional",0,"0","0","0","0","1"
9,35,10,81000,90089,3,600,"Graduate",104000,"0","0","0","1","0"
10,34,9,180000,93023,1,8900,"Advanced/Professional",0,"1","0","0","0","0"
11,65,39,105000,94710,4,2400,"Advanced/Professional",0,"0","0","0","0","0"
12,29,5,45000,90277,3,100,"Graduate",0,"0","0","0","1","0"
13,48,23,114000,93106,2,3800,"Advanced/Professional",0,"0","1","0","0","0"
14,59,32,40000,94920,4,2500,"Graduate",0,"0","0","0","1","0"
15,67,41,112000,91741,1,2000,"Undergrad",0,"0","1","0","0","0"
16,60,30,22000,95054,1,1500,"Advanced/Professional",0,"0","0","0","1","1"
17,38,14,130000,95010,4,4700,"Advanced/Professional",134000,"1","0","0","0","0"
18,42,18,81000,94305,4,2400,"Undergrad",0,"0","0","0","0","0"
19,46,21,193000,91604,2,8100,"Advanced/Professional",0,"1","0","0","0","0"
20,55,28,21000,94720,1,500,"Graduate",0,"0","1","0","0","1"
21,56,31,25000,94015,4,900,"Graduate",111000,"0","0","0","1","0"
22,57,27,63000,90095,3,2000,"Advanced/Professional",0,"0","0","0","1","0"
23,29,5,62000,90277,1,1200,"Undergrad",260000,"0","0","0","1","0"
24,44,18,43000,91320,2,700,"Undergrad",163000,"0","1","0","0","0"
25,36,11,152000,95521,2,3900,"Undergrad",159000,"0","0","0","0","1"
26,43,19,29000,94305,3,500,"Undergrad",97000,"0","0","0","1","0"
27,40,16,83000,95064,4,200,"Advanced/Professional",0,"0","0","0","0","0"
28,46,20,158000,90064,1,2400,"Undergrad",0,"0","0","0","1","1"
29,56,30,48000,94539,1,2200,"Advanced/Professional",0,"0","0","0","1","1"
30,38,13,119000,94104,1,3300,"Graduate",0,"1","0","1","1","1"
31,59,35,35000,93106,1,1200,"Advanced/Professional",122000,"0","0","0","1","0"
32,40,16,29000,94117,1,2000,"Graduate",0,"0","0","0","1","0"
33,53,28,41000,94801,2,600,"Advanced/Professional",193000,"0","0","0","0","0"
34,30,6,18000,91330,3,900,"Advanced/Professional",0,"0","0","0","0","0"
35,31,5,50000,94035,4,1800,"Advanced/Professional",0,"0","0","0","1","0"
36,48,24,81000,92647,3,700,"Undergrad",0,"0","0","0","0","0"
37,59,35,121000,94720,1,2900,"Undergrad",0,"0","0","0","0","1"
38,51,25,71000,95814,1,1400,"Advanced/Professional",198000,"0","0","0","0","0"
39,42,18,141000,94114,3,5000,"Advanced/Professional",0,"1","1","1","1","0"
40,38,13,80000,94115,4,700,"Advanced/Professional",285000,"0","0","0","1","0"
41,57,32,84000,92672,3,1600,"Advanced/Professional",0,"0","1","0","0","0"
42,34,9,60000,94122,3,2300,"Undergrad",0,"0","0","0","0","0"
43,32,7,132000,90019,4,1100,"Graduate",412000,"1","0","0","1","0"
44,39,15,45000,95616,1,700,"Undergrad",0,"0","0","0","1","0"
45,46,20,104000,94065,1,5700,"Undergrad",0,"0","0","0","1","1"
46,57,31,52000,94720,4,2500,"Undergrad",0,"0","0","0","0","1"
47,39,14,43000,95014,3,700,"Graduate",153000,"0","0","0","1","0"
48,37,12,194000,91380,4,200,"Advanced/Professional",211000,"1","1","1","1","1"
49,56,26,81000,95747,2,4500,"Advanced/Professional",0,"0","0","0","0","1"
50,40,16,49000,92373,1,1800,"Undergrad",0,"0","0","0","0","1"
51,32,8,8000,92093,4,700,"Graduate",0,"0","1","0","1","0"
52,61,37,131000,94720,1,2900,"Undergrad",0,"0","0","0","1","0"
53,30,6,72000,94005,1,100,"Undergrad",207000,"0","0","0","0","0"
54,50,26,190000,90245,3,2100,"Advanced/Professional",240000,"1","0","0","1","0"
55,29,5,44000,95819,1,200,"Advanced/Professional",0,"0","0","0","1","0"
56,41,17,139000,94022,2,8000,"Undergrad",0,"0","0","0","1","0"
57,55,30,29000,94005,3,100,"Graduate",0,"0","1","1","1","0"
58,56,31,131000,95616,2,1200,"Advanced/Professional",0,"1","0","0","0","0"
59,28,2,93000,94065,2,200,"Undergrad",0,"0","0","0","0","0"
60,31,5,188000,91320,2,4500,"Undergrad",455000,"0","0","0","0","0"
61,49,24,39000,90404,3,1700,"Graduate",0,"0","1","0","1","0"
62,47,21,125000,93407,1,5700,"Undergrad",112000,"0","1","0","0","0"
63,42,18,22000,90089,1,1000,"Undergrad",0,"0","0","0","0","0"
64,42,17,32000,94523,4,0,"Graduate",0,"0","0","0","1","0"
65,47,23,105000,90024,2,3300,"Undergrad",0,"0","0","0","0","0"
66,59,35,131000,91360,1,3800,"Undergrad",0,"0","0","0","1","1"
67,62,36,105000,95670,2,2800,"Undergrad",336000,"0","0","0","0","0"
68,53,23,45000,95123,4,2000,"Advanced/Professional",132000,"0","1","0","0","0"
69,47,21,60000,93407,3,2100,"Undergrad",0,"0","0","0","1","1"
70,53,29,20000,90045,4,200,"Undergrad",0,"0","0","0","1","0"
71,42,18,115000,91335,1,3500,"Undergrad",0,"0","0","0","0","1"
72,53,29,69000,93907,4,1000,"Graduate",0,"0","0","0","1","0"
73,44,20,130000,92007,1,5000,"Undergrad",0,"0","0","0","0","1"
74,41,16,85000,94606,1,4000,"Advanced/Professional",0,"0","0","0","1","1"
75,28,3,135000,94611,2,3300,"Undergrad",0,"0","0","0","0","1"
76,31,7,135000,94901,4,3800,"Graduate",0,"1","0","1","1","1"
77,58,32,12000,91320,3,300,"Advanced/Professional",0,"0","0","0","0","0"
78,46,20,29000,92220,3,500,"Graduate",0,"0","0","0","0","0"
79,54,30,133000,93305,2,2600,"Advanced/Professional",0,"1","0","0","0","0"
80,50,26,19000,94720,2,400,"Undergrad",118000,"0","0","0","1","0"
81,60,36,41000,95134,4,1300,"Undergrad",174000,"0","0","0","1","1"
82,47,22,40000,94612,3,2700,"Graduate",0,"0","0","0","1","0"
83,41,16,82000,92507,1,4000,"Advanced/Professional",0,"0","0","0","1","0"
84,33,9,50000,94305,1,2400,"Graduate",0,"0","0","0","0","0"
85,46,22,18000,91730,1,900,"Advanced/Professional",0,"0","0","0","1","0"
86,27,2,109000,94005,4,1800,"Advanced/Professional",0,"0","0","0","0","0"
87,40,16,42000,94501,4,2200,"Graduate",126000,"0","0","0","0","0"
88,48,22,78000,94305,3,1100,"Undergrad",0,"0","0","0","1","0"
89,65,41,51000,94117,2,1100,"Undergrad",0,"0","0","0","1","0"
90,25,1,113000,94303,4,2300,"Advanced/Professional",0,"0","0","0","0","1"
91,55,30,118000,90277,4,5600,"Graduate",0,"1","0","0","1","0"
92,35,10,29000,94105,4,1100,"Advanced/Professional",0,"0","0","0","1","0"
93,43,19,34000,94305,3,600,"Graduate",0,"0","0","0","0","0"
94,60,34,64000,94550,2,1700,"Advanced/Professional",236000,"0","1","0","1","0"
95,65,39,121000,92612,1,2000,"Undergrad",0,"0","0","0","0","0"
96,38,12,48000,95617,4,200,"Advanced/Professional",0,"0","0","0","1","0"
97,41,15,80000,95014,1,5200,"Undergrad",0,"0","0","0","0","0"
98,54,28,161000,92121,1,2900,"Undergrad",0,"0","0","0","1","0"
99,49,23,94000,92374,1,300,"Undergrad",0,"0","0","0","1","0"
100,66,41,15000,91711,3,100,"Advanced/Professional",0,"0","0","0","1","0"
101,48,23,74000,94080,1,1200,"Undergrad",0,"0","0","0","1","0"
102,61,36,30000,94608,3,1300,"Graduate",0,"0","0","0","0","0"
103,53,23,44000,93555,3,1000,"Advanced/Professional",198000,"0","0","0","1","1"
104,43,18,22000,95670,2,300,"Graduate",0,"0","0","0","1","0"
105,56,32,38000,93311,4,1300,"Undergrad",166000,"0","0","0","1","1"
106,24,0,35000,94704,3,100,"Graduate",0,"0","1","0","1","0"
107,43,17,69000,92717,4,2900,"Undergrad",0,"0","0","0","1","1"
108,42,18,43000,92037,1,700,"Undergrad",136000,"0","0","0","0","0"
109,33,7,32000,95136,1,600,"Advanced/Professional",166000,"0","0","0","1","0"
110,43,17,49000,94542,1,2800,"Undergrad",0,"0","0","0","1","0"
111,41,14,9000,91330,3,1000,"Graduate",0,"0","0","0","0","0"
112,62,38,45000,94143,4,1300,"Graduate",0,"0","0","0","1","0"
113,40,15,82000,91775,3,1000,"Undergrad",309000,"0","0","0","0","0"
114,58,34,92000,92703,2,2800,"Undergrad",103000,"0","0","0","0","0"
115,39,14,39000,92354,3,500,"Advanced/Professional",0,"0","0","0","1","0"
116,65,40,81000,92024,3,1800,"Graduate",0,"0","0","0","1","0"
117,54,29,35000,92831,1,1500,"Graduate",0,"0","0","0","1","0"
